Title,Category,Brand,Price_USD,Discount_Percent,Rating,Stock
Essence Mascara Lash Princess,beauty,Essence,9.99,10.48,2.56,99
Eyeshadow Palette with Mirror,beauty,Glamour Beauty,19.99,18.19,2.86,34
Powder Canister,beauty,Velvet Touch,14.99,9.84,4.64,89
Red Lipstick,beauty,Chic Cosmetics,12.99,12.16,4.36,91
Red Nail Polish,beauty,Nail Couture,8.99,11.44,4.32,79
Calvin Klein CK One,fragrances,Calvin Klein,49.99,1.89,4.37,29
Chanel Coco Noir Eau De,fragrances,Chanel,129.99,16.51,4.26,58
Dior J'adore,fragrances,Dior,89.99,14.72,3.8,98
Dolce Shine Eau de,fragrances,Dolce & Gabbana,69.99,0.62,3.96,4
Gucci Bloom Eau de,fragrances,Gucci,79.99,14.39,2.74,91
Annibale Colombo Bed,furniture,Annibale Colombo,1899.99,8.57,4.77,88
Annibale Colombo Sofa,furniture,Annibale Colombo,2499.99,14.4,3.92,60
Bedside Table African Cherry,furniture,Furniture Co.,299.99,19.09,2.87,64
Knoll Saarinen Executive Conference Chair,furniture,Knoll,499.99,2.01,4.88,26
Wooden Bathroom Sink With Mirror,furniture,Bath Trends,799.99,8.8,3.59,7
Apple,groceries,Unknown,1.99,12.62,4.19,8
Beef Steak,groceries,Unknown,12.99,9.61,4.47,86
Cat Food,groceries,Unknown,8.99,9.58,3.13,46
Chicken Meat,groceries,Unknown,9.99,13.7,3.19,97
Cooking Oil,groceries,Unknown,4.99,9.33,4.8,10
Cucumber,groceries,Unknown,1.49,0.16,4.07,84
Dog Food,groceries,Unknown,10.99,10.27,4.55,71
Eggs,groceries,Unknown,2.99,11.05,2.53,9
Fish Steak,groceries,Unknown,14.99,4.23,3.78,74
Green Bell Pepper,groceries,Unknown,1.29,0.16,3.25,33
Green Chili Pepper,groceries,Unknown,0.99,1.0,3.66,3
Honey Jar,groceries,Unknown,6.99,14.4,3.97,34
Ice Cream,groceries,Unknown,5.49,8.69,3.39,27
Juice,groceries,Unknown,3.99,12.06,3.94,50
Kiwi,groceries,Unknown,2.49,15.22,4.93,99
Lemon,groceries,Unknown,0.79,9.7,3.53,31
Milk,groceries,Unknown,3.49,13.74,2.61,27
Mulberry,groceries,Unknown,4.99,12.87,4.95,99
Nescafe Coffee,groceries,Unknown,7.99,1.59,4.82,57
Potatoes,groceries,Unknown,2.29,5.38,4.81,13
Protein Powder,groceries,Unknown,19.99,7.59,4.18,80
Red Onions,groceries,Unknown,1.99,9.9,4.2,82
Rice,groceries,Unknown,5.99,9.29,3.18,59
Soft Drinks,groceries,Unknown,1.99,17.48,4.75,53
Strawberry,groceries,Unknown,3.99,1.12,3.08,46
Tissue Paper Box,groceries,Unknown,2.49,13.28,2.69,86
Water,groceries,Unknown,0.99,14.92,4.96,53
Decoration Swing,home-decoration,Unknown,59.99,10.41,3.16,47
Family Tree Photo Frame,home-decoration,Unknown,29.99,14.87,4.53,77
House Showpiece Plant,home-decoration,Unknown,39.99,7.46,4.67,28
Plant Pot,home-decoration,Unknown,14.99,6.84,3.01,59
Table Lamp,home-decoration,Unknown,49.99,7.09,3.55,9
Bamboo Spatula,kitchen-accessories,Unknown,7.99,2.84,3.27,37
Black Aluminium Cup,kitchen-accessories,Unknown,5.99,15.65,4.46,75
Black Whisk,kitchen-accessories,Unknown,9.99,10.24,3.9,73
Boxed Blender,kitchen-accessories,Unknown,39.99,7.26,4.56,9
Carbon Steel Wok,kitchen-accessories,Unknown,29.99,6.53,4.05,40
Chopping Board,kitchen-accessories,Unknown,12.99,8.03,3.7,14
